!,1794,3555,3597,SF,*,*,*,*,*,*,*
(,1800,3560,-1510,SSO,*,*,*,*,*,*,*
),1799,3559,-1774,SSC,*,*,*,*,*,*,*
",",1792,3553,828,SC,*,*,*,*,*,*,*
.,1794,3555,3597,SF,*,*,*,*,*,*,*
/,1792,3553,828,SC,*,*,*,*,*,*,*
:,1792,3553,828,SC,*,*,*,*,*,*,*
?,1794,3555,3597,SF,*,*,*,*,*,*,*
[,1800,3560,-1510,SSO,*,*,*,*,*,*,*
],1799,3559,-1774,SSC,*,*,*,*,*,*,*
·,1792,3553,828,SC,*,*,*,*,*,*,*
“,1800,3560,-1510,SSO,*,*,*,*,*,*,*
”,1799,3559,-1774,SSC,*,*,*,*,*,*,*
…,1793,3554,-1003,SE,*,*,*,*,*,*,*
「,1800,3560,-1510,SSO,*,*,*,*,*,*,*
」,1799,3559,-1774,SSC,*,*,*,*,*,*,*
